Artist,Museum,Gender,Ethnicity,Location,Year
Catarina Bremselin,Art Institute of Chicago,woman,white,,
Richard Hicks Bridgens,Art Institute of Chicago,man,white,Europe,1780.0
Gary Brotmeyer,Art Institute of Chicago,man,,North America,1950.0
Ray Brown,Art Institute of Chicago,man,white,North America,
Bernard Buffet,Art Institute of Chicago,man,white,Europe,1930.0
Alexander Buquet,Art Institute of Chicago,man,white,Europe,1800.0
Jacob Burck,Art Institute of Chicago,man,white,Europe,1910.0
John Burt,Art Institute of Chicago,man,,,
Cleo van Buskirk,Art Institute of Chicago,,,North America,1910.0
Samuel Butler,Art Institute of Chicago,man,white,,1840.0
Wayne Cable,Art Institute of Chicago,man,white,North America,1960.0
Carlo Calcinotto,Art Institute of Chicago,man,white,Europe,1700.0
Benedetto Caliari,Art Institute of Chicago,man,white,Europe,1540.0
Jacques Callot,Art Institute of Chicago,man,white,Europe,1590.0
David Young Cameron,Art Institute of Chicago,man,white,,1860.0
Scipione Del Campo,Art Institute of Chicago,man,white,Europe,1900.0
Giovanni Jacopo Caraglio,Art Institute of Chicago,man,white,Europe,1500.0
Emil Carlsen,Art Institute of Chicago,man,white,,1850.0
Agostino Carracci,Art Institute of Chicago,man,white,Europe,1560.0
Annibale Carracci,Art Institute of Chicago,man,white,Europe,1560.0
Francesco Castiglione,Art Institute of Chicago,man,white,Europe,1640.0
Vija Celmins,Art Institute of Chicago,woman,white,Europe,1940.0
Cosimo Cenni,Art Institute of Chicago,man,white,Europe,
Lynn Chadwick,Art Institute of Chicago,man,white,Europe,1910.0
Victor Chalupski,Art Institute of Chicago,,,,
Charles Abraham Chasselat,Art Institute of Chicago,man,white,,1780.0
Farrukh Chela,Art Institute of Chicago,,asian,Asia and the Pacific,1580.0
Eric Cheng,Art Institute of Chicago,man,asian,,
FranA?ois Chereau,Art Institute of Chicago,man,white,Europe,1680.0
Elio Ciol,Art Institute of Chicago,man,white,Europe,1930.0
Arnaud Claass,Art Institute of Chicago,man,white,Europe,1950.0
John Heaviside Clark,Art Institute of Chicago,man,white,Europe,1770.0
John Clerk,Art Institute of Chicago,man,white,Europe,1730.0
Sue Coe,Art Institute of Chicago,woman,white,Europe,1950.0
Elizabeth Colwell,Art Institute of Chicago,,,North America,1880.0
Vicenzo Cominazzo,Art Institute of Chicago,man,white,Europe,
Bruce Conner,Art Institute of Chicago,man,white,North America,1930.0
Francis W. Cooper,Art Institute of Chicago,man,white,,
Matthew Cooper,Art Institute of Chicago,man,,,
Lovis Corinth,Art Institute of Chicago,man,white,Europe,1860.0
Jean George Cornelius,Art Institute of Chicago,man,white,Europe,1880.0
Allela Cornell,Art Institute of Chicago,woman,white,North America,1910.0
Hendrick Frans de Cort,Art Institute of Chicago,man,white,Europe,1740.0
Marie Cosindas,Art Institute of Chicago,woman,white,,1920.0
Marsha Cottrell,Art Institute of Chicago,woman,white,North America,1960.0
Paul D'Amato,Art Institute of Chicago,man,white,North America,1960.0
Albrecht DA?rer,Art Institute of Chicago,man,white,Europe,1470.0
Louis-Jacques Daguerre,Art Institute of Chicago,man,white,Europe,1790.0
Nakamura DaizaburA?,Art Institute of Chicago,man,asian,Asia and the Pacific,1900.0
Salvador DalA-,Art Institute of Chicago,man,,Europe,1900.0
Pietro Dandini,Art Institute of Chicago,man,white,Europe,1650.0
Adrien Dauzats,Art Institute of Chicago,man,white,Europe,1800.0
Ella Maria Deacon,Art Institute of Chicago,woman,,North America,1810.0
Howard Dearstyne,Art Institute of Chicago,man,white,North America,1900.0
Jay DeFeo,Art Institute of Chicago,woman,white,North America,1930.0
Aron Dejez,Art Institute of Chicago,man,white,,
Donna Dennis,Art Institute of Chicago,woman,white,North America,1940.0
Giuseppe Diamantini,Art Institute of Chicago,man,white,Europe,1620.0
AndrAC Dignimont,Art Institute of Chicago,man,white,Europe,1890.0
John Dixwell,Art Institute of Chicago,man,white,,
Ozias Dodge,Art Institute of Chicago,man,white,North America,1870.0
Theo van Doesburg,Art Institute of Chicago,man,white,Europe,1880.0
Jean Gabriel Domergue,Art Institute of Chicago,man,white,Europe,1890.0
John E. Dowell,Art Institute of Chicago,man,,North America,1940.0
Felix Droese,Art Institute of Chicago,man,white,Europe,1950.0
Louis-Joseph-CACsar Ducornet,Art Institute of Chicago,man,white,Europe,1810.0
A. Duplessis,Art Institute of Chicago,man,,,
GACrard Edelinck,Art Institute of Chicago,man,white,Europe,1640.0
Friedrich Egermann,Art Institute of Chicago,man,white,Europe,1780.0
George Grant Elmslie,Art Institute of Chicago,man,white,Europe,1870.0
James Ensor,Art Institute of Chicago,man,white,Europe,1860.0
Barbara Ess,Art Institute of Chicago,woman,white,North America,1950.0
Filippo Falciatore,Art Institute of Chicago,man,white,Europe,
William Fasig,Art Institute of Chicago,man,white,North America,
Joan Fontcuberta,Art Institute of Chicago,man,white,Europe,1960.0
Vivian Forbes,Art Institute of Chicago,man,white,Europe,1890.0
Richard Ford,Art Institute of Chicago,man,white,North America,
John F. Francis,Art Institute of Chicago,man,,North America,1810.0
Frans Francken,Art Institute of Chicago,man,white,Europe,1580.0
John Robinson Frazier,Art Institute of Chicago,man,white,North America,1890.0
Dan Friedman,Art Institute of Chicago,man,,North America,1940.0
Frederick Carl Frieseke,Art Institute of Chicago,man,white,North America,1870.0
Dayvid Froyla,Art Institute of Chicago,man,,,
Okatakar Fuchs,Art Institute of Chicago,,white,Europe,
JesAos Guerrero GalvA!n,Art Institute of Chicago,man,hispanic,Latin America and the Caribbean,1910.0
Jean RenAC Gauguin,Art Institute of Chicago,man,white,Europe,1880.0
Winfred Gaul,Art Institute of Chicago,man,white,Europe,1930.0
Frank O. Gehry,Art Institute of Chicago,man,white,North America,1930.0
Terry A. Gentille,Art Institute of Chicago,man,,North America,1940.0
Robert John Gibbings,Art Institute of Chicago,man,white,Europe,1890.0
Friedrich Gilly,Art Institute of Chicago,man,white,Europe,1770.0
Pedro Girard,Art Institute of Chicago,man,,Europe,
Belle Silveira Gorski,Art Institute of Chicago,,white,North America,1880.0
John Gossage,Art Institute of Chicago,man,white,North America,1950.0
David Graham,Art Institute of Chicago,man,white,,
Gustave Le Gray,Art Institute of Chicago,man,white,Europe,1820.0
Mimi Grooms,Art Institute of Chicago,woman,white,North America,1940.0
Walter Gropius,Art Institute of Chicago,man,white,Europe,1880.0
Chaim Gross,Art Institute of Chicago,man,white,Europe,1900.0
JolA!n Gross-Bettelheim,Art Institute of Chicago,woman,white,Europe,1900.0
Nancy Grossman,Art Institute of Chicago,woman,white,North America,1940.0
Leopold Grozelier,Art Institute of Chicago,man,white,,1830.0
Charlotte Guerin,Art Institute of Chicago,,white,,1760.0
Ernst Haas,Art Institute of Chicago,man,white,Europe,1920.0
Tang Haiwen,Art Institute of Chicago,man,asian,Asia and the Pacific,1930.0
Theodore Halkin,Art Institute of Chicago,man,white,North America,1920.0
Sylvia Birch Halperin,Art Institute of Chicago,woman,white,North America,1930.0
Thomas Handforth,Art Institute of Chicago,man,white,North America,1900.0
David Hanson,Art Institute of Chicago,man,white,North America,1950.0
Keiko Hara,Art Institute of Chicago,woman,asian,Asia and the Pacific,1940.0
Naohisa Hara,Art Institute of Chicago,man,asian,Asia and the Pacific,1950.0
William Kerridge Haselden,Art Institute of Chicago,man,white,Europe,1870.0
Leonard Havens,Art Institute of Chicago,man,,North America,1910.0
Edwin Hayes,Art Institute of Chicago,man,,,1820.0
Rebecca C. Hayward,Art Institute of Chicago,woman,,,
Robert Healy,Art Institute of Chicago,,white,Europe,
Isidore-Stanislas Helman,Art Institute of Chicago,,white,Europe,1740.0
George Herriman,Art Institute of Chicago,man,white,North America,1880.0
Louis Hersent,Art Institute of Chicago,man,white,Europe,1780.0
Honma Hideaki,Art Institute of Chicago,man,asian,Asia and the Pacific,1960.0
Joseph Highmore,Art Institute of Chicago,man,white,Europe,1690.0
Anna Wyers Hill,Art Institute of Chicago,woman,white,North America,
Vernon Hill,Art Institute of Chicago,man,white,Europe,1890.0
Marandy Merrill Hobbs,Art Institute of Chicago,woman,white,North America,1790.0
Adolf Hohenstein,Art Institute of Chicago,man,white,Europe,1850.0
Kenneth Holmes,Art Institute of Chicago,man,white,,
Charles Sydney Hopkinson,Art Institute of Chicago,man,white,North America,1870.0
Charles Howard,Art Institute of Chicago,man,white,North America,1900.0
Samuel Howett,Art Institute of Chicago,man,white,Europe,1760.0
Georges Hugnet,Art Institute of Chicago,man,white,Europe,1910.0
Bryan Hunt,Art Institute of Chicago,man,white,North America,1950.0
Arthur F. Hussander,Art Institute of Chicago,man,white,,1860.0
Helen Hyde,Art Institute of Chicago,woman,white,North America,1870.0
Master I.B.,Art Institute of Chicago,man,,,
Kent Forrest Ipsen,Art Institute of Chicago,man,white,North America,1930.0
Doug Ischar,Art Institute of Chicago,man,white,North America,1950.0
E. Jacobs,Art Institute of Chicago,man,white,North America,1810.0
Antoine Jacquard,Art Institute of Chicago,,,,
Pierre Jahan,Art Institute of Chicago,man,white,Europe,1910.0
Bill Jensen,Art Institute of Chicago,man,white,North America,1940.0
Michael Johnson,Art Institute of Chicago,man,,,
John Jones,Art Institute of Chicago,man,,North America,
FranA?ois Joullain,Art Institute of Chicago,man,white,Europe,
Shen Kai,Art Institute of Chicago,,asian,Asia and the Pacific,
Simpson Kalisher,Art Institute of Chicago,man,,North America,1930.0
Akira Kanayama,Art Institute of Chicago,man,asian,Asia and the Pacific,1920.0
Charles Frederick Kandler,Art Institute of Chicago,man,white,Europe,
Barbara Kasten,Art Institute of Chicago,woman,white,North America,1940.0
Carl Kauba,Art Institute of Chicago,man,white,Europe,1860.0
Kurt Kemp,Art Institute of Chicago,man,white,North America,1960.0
Margarida Kendall,Art Institute of Chicago,,white,Europe,1960.0
Shimozawa KihachirA?,Art Institute of Chicago,man,asian,Asia and the Pacific,1900.0
Troy Kinney,Art Institute of Chicago,man,,North America,1870.0
Archibald Knox,Art Institute of Chicago,man,white,Europe,1860.0
Renard Koehnemann,Art Institute of Chicago,man,,North America,
Michiko Kon,Art Institute of Chicago,,asian,Asia and the Pacific,1960.0
Bob Kraus,Art Institute of Chicago,man,white,North America,1920.0
Warren Krupsaw,Art Institute of Chicago,man,,North America,
Valentina Nikiforovna Kulagina,Art Institute of Chicago,,white,Europe,1900.0
Johann Fredrich LA?ck,Art Institute of Chicago,man,white,Europe,
Henri Leopold LACvy,Art Institute of Chicago,man,white,Europe,1840.0
Lagneau,Art Institute of Chicago,man,white,Europe,
Samuel Lane,Art Institute of Chicago,man,white,Europe,1780.0
Lisa Larsen,Art Institute of Chicago,woman,white,Europe,
Lester Lashley,Art Institute of Chicago,,,,
Juan Laurent,Art Institute of Chicago,man,white,Europe,1820.0
Claude Nicolas Ledoux,Art Institute of Chicago,man,white,Europe,1740.0
Alfred Leete,Art Institute of Chicago,man,white,Europe,1880.0
Louis FranA?ois Lejeune,Art Institute of Chicago,man,white,Europe,1780.0
Asa Lenore,Art Institute of Chicago,,,North America,
Nathan Lerner,Art Institute of Chicago,man,white,North America,1910.0
Jack Levine,Art Institute of Chicago,man,white,North America,1920.0
Les Levine,Art Institute of Chicago,man,white,Europe,1940.0
Arthur Hershel Lidov,Art Institute of Chicago,man,white,North America,1920.0
David Ligare,Art Institute of Chicago,man,white,North America,1940.0
Andrea Locatelli,Art Institute of Chicago,man,white,Europe,1700.0
David Lucas,Art Institute of Chicago,man,white,Europe,1800.0
Paul Ludick,Art Institute of Chicago,man,,North America,1960.0
Emile van Marcke de Lummen,Art Institute of Chicago,man,white,Europe,1830.0
Alexandre Lunois,Art Institute of Chicago,man,white,Europe,1860.0
George Platt Lynes,Art Institute of Chicago,man,white,North America,1910.0
Peter MA?ller-Munk,Art Institute of Chicago,man,white,Europe,1900.0
Notley Warren Maddox,Art Institute of Chicago,man,white,North America,1940.0
Erik Magnussen,Art Institute of Chicago,man,white,Europe,1940.0
Johann August Eduard Mandel,Art Institute of Chicago,man,white,Europe,1810.0
Alfred Manessier,Art Institute of Chicago,man,white,Europe,1910.0
Agnes Martin,Art Institute of Chicago,woman,white,North America,1910.0
Charles Marville,Art Institute of Chicago,man,white,Europe,1810.0
Lora Marx,Art Institute of Chicago,,white,North America,1900.0
Agostino Masucci,Art Institute of Chicago,man,white,Europe,1690.0
Karl Mattern,Art Institute of Chicago,man,white,,1890.0
Rita McBride,Art Institute of Chicago,woman,white,North America,1960.0
McCoy,Art Institute of Chicago,,,,
Minnie McLeish,Art Institute of Chicago,woman,white,Europe,1880.0
Hans Meid,Art Institute of Chicago,man,white,Europe,1880.0
Wendy Meng,Art Institute of Chicago,woman,,North America,1940.0
Charles Meryon,Art Institute of Chicago,man,white,Europe,1820.0
Lucia Moholy,Art Institute of Chicago,,white,Europe,1890.0
Georges Montorgueil,Art Institute of Chicago,man,white,Europe,1860.0
John David Mooney,Art Institute of Chicago,man,white,North America,
Raymond Moore,Art Institute of Chicago,man,white,Europe,1920.0
Gustave Moreau,Art Institute of Chicago,man,white,Europe,1830.0
Franklin Townsend Morgan,Art Institute of Chicago,man,white,North America,1880.0
Hilda Morris,Art Institute of Chicago,woman,white,North America,1910.0
William Morris,Art Institute of Chicago,man,white,Europe,1830.0
Koloman (Kolo) Moser,Art Institute of Chicago,man,white,Europe,1870.0
Robert Muir,Art Institute of Chicago,man,white,Europe,
MihA!ly MunkA!csy,Art Institute of Chicago,man,white,Europe,1840.0
William D. Murphy,Art Institute of Chicago,,,,
Ming Murray,Art Institute of Chicago,,,,
Celestin Nanteuil,Art Institute of Chicago,man,white,Europe,1810.0
Tony Naponic,Art Institute of Chicago,man,white,North America,1950.0
Dennis Nechvatal,Art Institute of Chicago,man,white,North America,1950.0
Rolf Nesch,Art Institute of Chicago,man,white,Europe,1890.0
Ernesto Neto,Art Institute of Chicago,man,hispanic,Latin America and the Caribbean,1960.0
Emil Nolde,Art Institute of Chicago,man,white,Europe,1870.0
Jan J. Norbeck,Art Institute of Chicago,,white,North America,1950.0
Heidi Norton,Art Institute of Chicago,woman,white,North America,1980.0
Avanzino Nucci,Art Institute of Chicago,man,white,Europe,1550.0
Isadore Ocampo,Art Institute of Chicago,man,,,1910.0
Tetsu Okuhara,Art Institute of Chicago,man,,North America,1940.0
Joseph Maria Olbrich,Art Institute of Chicago,man,white,Europe,1870.0
Toby Old,Art Institute of Chicago,man,white,North America,1940.0
Jacob Cornelisz. van Oostsanen,Art Institute of Chicago,man,white,Europe,1470.0
Emil Orlik,Art Institute of Chicago,man,white,Europe,1870.0
Charles Paine,Art Institute of Chicago,man,white,Europe,1900.0
Caylus Painter,Art Institute of Chicago,,,Europe,
Bertha HonorAC Palmer,Art Institute of Chicago,woman,white,North America,1850.0
Peter Paone,Art Institute of Chicago,man,white,North America,1940.0
Jean Michel Papillon,Art Institute of Chicago,man,white,Europe,1700.0
Geronima Cagnaccia Parasole,Art Institute of Chicago,,white,Europe,1570.0
Parmigianino,Art Institute of Chicago,man,white,Europe,1500.0
Alice Kagawa Parrott,Art Institute of Chicago,woman,,North America,1930.0
Patas,Art Institute of Chicago,man,white,Europe,1740.0
John Dean Paul,Art Institute of Chicago,man,white,Europe,1780.0
JosAC M. PavA3n,Art Institute of Chicago,,,,
Philip Pearlstein,Art Institute of Chicago,man,white,North America,1920.0
Nathan W. Pease,Art Institute of Chicago,man,,North America,1840.0
Max Pechstein,Art Institute of Chicago,man,white,Europe,1880.0
Jan Peeters,Art Institute of Chicago,man,white,Europe,1620.0
Edward Penfield,Art Institute of Chicago,man,white,North America,1870.0
Gilles Peress,Art Institute of Chicago,man,white,Europe,1950.0
Marion Perkins,Art Institute of Chicago,man,,North America,1910.0
Bernard Picart,Art Institute of Chicago,man,white,Europe,1670.0
Antonio TA pies,Art Institute of Chicago,man,white,Europe,1920.0
EdmAC Jean Pigal,Art Institute of Chicago,man,white,Europe,
Isidore Alexandre Augustin Pils,Art Institute of Chicago,,white,Europe,1810.0
Charles Adams Platt,Art Institute of Chicago,man,white,North America,1860.0
David Plowden,Art Institute of Chicago,man,white,North America,1930.0
Guglielmo della Porta,Art Institute of Chicago,man,white,Europe,
Erna E. Postel,Art Institute of Chicago,woman,,North America,
Richard Pousette-Dart,Art Institute of Chicago,man,white,North America,1920.0
Gordon Powell,Art Institute of Chicago,man,white,North America,1950.0
Jean-Jacques Pradier,Art Institute of Chicago,man,white,Europe,1790.0
Charles Edward Crespy Le Prince,Art Institute of Chicago,man,white,Europe,1780.0
J. John Priola,Art Institute of Chicago,man,white,North America,1960.0
Purviance,Art Institute of Chicago,,,,
William R. Pywell,Art Institute of Chicago,man,white,North America,1840.0
Simon Francis Ravenet,Art Institute of Chicago,man,white,Europe,1710.0
Severo da Ravenna,Art Institute of Chicago,man,white,Europe,
Johann Reiner,Art Institute of Chicago,man,white,Europe,
Charles Stanley Reinhart,Art Institute of Chicago,man,,North America,1840.0
Johann Christian Reinhart,Art Institute of Chicago,man,white,Europe,1760.0
Ray Reshoft,Art Institute of Chicago,man,white,North America,1930.0
Erich Retzlaff,Art Institute of Chicago,man,white,Europe,1900.0
Gerhardt Wilhelm von Reutern,Art Institute of Chicago,man,white,Europe,1790.0
Erhard Reuwich,Art Institute of Chicago,man,white,Europe,
Barbara Revelle,Art Institute of Chicago,woman,white,North America,1950.0
Augustin ThACodule Ribot,Art Institute of Chicago,man,white,Europe,1820.0
George Richmond,Art Institute of Chicago,man,white,Europe,1810.0
Jeanne Rij-Rousseau,Art Institute of Chicago,,white,Europe,1870.0
James Robertson,Art Institute of Chicago,man,,,
Auguste Rodin,Art Institute of Chicago,man,white,Europe,1840.0
Cristoforo Roncalli,Art Institute of Chicago,man,white,Europe,1550.0
Alicia Rosauer,Art Institute of Chicago,woman,,North America,1980.0
John Rote,Art Institute of Chicago,man,,,
Albert Daniel Rutherston,Art Institute of Chicago,man,white,Europe,1880.0
Barbara Sandler,Art Institute of Chicago,woman,white,North America,1940.0
Lyddell Sawyer,Art Institute of Chicago,man,white,Europe,1860.0
Arthur Sawyers,Art Institute of Chicago,man,,North America,1940.0
Carlo Scarpa,Art Institute of Chicago,man,white,Europe,1910.0
Reni Schaschi,Art Institute of Chicago,,white,Europe,1900.0
Diane Schmidt,Art Institute of Chicago,woman,white,North America,
Martin Schongauer,Art Institute of Chicago,man,white,Europe,1440.0
Lester O. Schwartz,Art Institute of Chicago,man,,North America,
Joan Semmel,Art Institute of Chicago,woman,,North America,1930.0
Laura Shechter,Art Institute of Chicago,woman,white,North America,1940.0
Ryuryukyo Shinsai,Art Institute of Chicago,man,asian,Asia and the Pacific,
Dasha Shishkin,Art Institute of Chicago,woman,white,Europe,1980.0
Li Shizhuo,Art Institute of Chicago,man,asian,Asia and the Pacific,1690.0
Nishizawa Shizuo,Art Institute of Chicago,man,asian,Asia and the Pacific,1910.0
Yinka Shonibare,Art Institute of Chicago,man,black,Europe,1960.0
Shunko,Art Institute of Chicago,man,asian,Asia and the Pacific,1740.0
Maria Elena Vieira da Silva,Art Institute of Chicago,woman,white,Europe,1910.0
Raghubir Singh,Art Institute of Chicago,man,asian,Asia and the Pacific,1940.0
Maja SjA?strA?m,Art Institute of Chicago,,,,
Robert Smirke,Art Institute of Chicago,man,white,Europe,1780.0
Francis Hopkinson Smith,Art Institute of Chicago,man,white,North America,1840.0
Sherri Smith,Art Institute of Chicago,woman,,North America,
Dauptain et Soeur,Art Institute of Chicago,,,,
Agathe Sorel,Art Institute of Chicago,woman,white,Europe,1940.0
Eugene Speicher,Art Institute of Chicago,man,white,North America,1880.0
Adriaen van der Spelt,Art Institute of Chicago,man,white,Europe,1630.0
Mirella Spinella,Art Institute of Chicago,,,,1950.0
Edward Stasack,Art Institute of Chicago,man,white,North America,1930.0
Emma Stebbins,Art Institute of Chicago,,white,North America,1820.0
Jan Steen,Art Institute of Chicago,man,white,Europe,1630.0
James Stewart,Art Institute of Chicago,man,,,
Don Francisco Bayeu y SubA-as,Art Institute of Chicago,man,hispanic,Europe,1730.0
Henry Syverson,Art Institute of Chicago,man,white,North America,1920.0
Viatcheslav Tarnovetski,Art Institute of Chicago,man,white,Europe,1940.0
Bob Thall,Art Institute of Chicago,man,white,North America,1950.0
Jack R. Thornell,Art Institute of Chicago,man,white,North America,1940.0
Theodoor van Thulden,Art Institute of Chicago,,white,Europe,1610.0
Giovanni Domenico Tiepolo,Art Institute of Chicago,man,white,Europe,1730.0
Walasse Ting,Art Institute of Chicago,man,asian,Asia and the Pacific,1930.0
Domenico Tintoretto,Art Institute of Chicago,man,white,Europe,1560.0
Santi di Tito,Art Institute of Chicago,man,white,Europe,1540.0
GACrard Titus-Carmel,Art Institute of Chicago,man,white,,1940.0
Iraklii M. Toidze,Art Institute of Chicago,man,white,Europe,1900.0
Henri de Toulouse-Lautrec,Art Institute of Chicago,man,white,Europe,1860.0
Stephen Tourlentes,Art Institute of Chicago,man,white,,
Andree Tracey,Art Institute of Chicago,woman,white,North America,1950.0
Adrian Troy,Art Institute of Chicago,man,white,Europe,1900.0
Jessie Franklin Turner,Art Institute of Chicago,,,North America,1880.0
Carlo Urbino,Art Institute of Chicago,man,white,Europe,1520.0
Cesare Vecellio,Art Institute of Chicago,man,white,Europe,1530.0
Diego Rodriguez de VelA!zquez,Art Institute of Chicago,man,hispanic,Europe,1600.0
Collin de Vermont,Art Institute of Chicago,man,white,Europe,1690.0
Antonio Maria Viani,Art Institute of Chicago,,white,Europe,1540.0
Enea Vico,Art Institute of Chicago,man,white,Europe,1520.0
Claes Jansz. Visscher,Art Institute of Chicago,man,white,Europe,1590.0
Joseph Vogel,Art Institute of Chicago,man,white,,
Katsuji Wakisaka,Art Institute of Chicago,,asian,Asia and the Pacific,1940.0
Jean Antoine Watteau,Art Institute of Chicago,man,white,Europe,1680.0
June Wayne,Art Institute of Chicago,woman,white,North America,1920.0
Peter Joseph Weber,Art Institute of Chicago,man,white,,
Eric Weeks,Art Institute of Chicago,man,white,North America,1960.0
Ryan Weideman,Art Institute of Chicago,man,,North America,1940.0
Salomon Weininger,Art Institute of Chicago,man,white,Europe,
Jack Welpott,Art Institute of Chicago,man,white,North America,1920.0
Telman of Wesel,Art Institute of Chicago,man,,Europe,
Pennerton West,Art Institute of Chicago,,white,North America,1910.0
Rogier van der Weyden,Art Institute of Chicago,man,white,Europe,1400.0
Fuller White,Art Institute of Chicago,man,white,Europe,
Raymond J. Wielgus,Art Institute of Chicago,man,white,North America,1910.0
Jan Wierix,Art Institute of Chicago,man,white,Europe,1550.0
Antoine Wiertz,Art Institute of Chicago,man,white,Europe,1810.0
Pierre Alexandre Wille,Art Institute of Chicago,man,white,Europe,1750.0
John Windsor,Art Institute of Chicago,man,white,,
Bill Woolston,Art Institute of Chicago,man,white,North America,1940.0
Eliot Thomas Yorke,Art Institute of Chicago,man,white,Europe,1800.0
Tsukioka Yoshitoshi,Art Institute of Chicago,man,asian,Asia and the Pacific,1840.0
Guo You,Art Institute of Chicago,man,asian,Asia and the Pacific,1960.0
Ellsworth Young,Art Institute of Chicago,,white,North America,1870.0
Zarina,Art Institute of Chicago,woman,,,1940.0
Marie Antoinette Donaldson (Ijams),Dallas Museum of Art,woman,white,North America,
Berenice Abbott,Dallas Museum of Art,woman,white,North America,1900.0
Lucien Abrams,Dallas Museum of Art,man,white,North America,1870.0
Giuseppi Acquaroni,Dallas Museum of Art,man,white,Europe,1780.0
Ansel Adams,Dallas Museum of Art,man,white,North America,1900.0
Eleanor Adams,Dallas Museum of Art,woman,white,North America,1910.0
George Adams,Dallas Museum of Art,man,white,,
Lorenz Hutschenreuther AG,Dallas Museum of Art,man,white,,
John White Alexander,Dallas Museum of Art,man,white,North America,1860.0
Henry Alken,Dallas Museum of Art,man,white,Europe,1780.0
Terry Allen,Dallas Museum of Art,man,white,North America,1940.0
Helen Altman,Dallas Museum of Art,woman,white,North America,1960.0
David Altmejd,Dallas Museum of Art,man,white,North America,1970.0
"Thorkild Olsen, Royal Copenhagen Porcelain Manufactory, Ltd., Faience Manufactory Aluminia",Dallas Museum of Art,man,white,Europe,1890.0
Jesse Amado,Dallas Museum of Art,man,,North America,1950.0
Stanley Anderson,Dallas Museum of Art,man,,,
Mamma Andersson,Dallas Museum of Art,woman,white,Europe,1960.0
Angeles Lopez Antei,Dallas Museum of Art,,hispanic,,
Richard Anuszkiewicz,Dallas Museum of Art,man,white,North America,1930.0
Adolphe Appian,Dallas Museum of Art,man,white,Europe,1820.0
Florence Aragon,Dallas Museum of Art,woman,,North America,1930.0
